,State Case,Weather,Light_Type,Clear,"Fog, Smog, Smoke",Weather Not Reported,Rain,Snow,Dark,Dawn/Dusk,Daylight
40,10042,Rain,Dawn/Dusk,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
41,10043,Snow,Daylight,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
42,10044,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,10045,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,10046,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,10047,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,10048,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,10049,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,10050,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
49,10051,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,10052,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
51,10053,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,10054,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,10055,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,10056,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,10057,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
56,10058,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,10059,Snow,Daylight,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
58,10060,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,10061,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
